Protein.proID	Cofactor.chebiID
PR_Q9H6W3	CHEBI_29033
PR_Q71UM5	CHEBI_29105
PR_Q01970	CHEBI_29108
PR_P11217	CHEBI_597326
PR_Q96GA7	CHEBI_597326
PR_Q96I99	CHEBI_18420
PR_Q5R387	CHEBI_29108
PR_O15355	CHEBI_18420
PR_O15355	CHEBI_29035
PR_Q7LG56	CHEBI_24875
PR_A0A0B4J2F2	CHEBI_18420
PR_Q9BSE5	CHEBI_29035
PR_Q96EB6	CHEBI_29105
PR_O00506	CHEBI_18420
PR_P78362	CHEBI_18420
PR_Q9Y6N5	CHEBI_57692
PR_Q687X5	CHEBI_57692
PR_Q687X5	CHEBI_30413
PR_Q8TCD6	CHEBI_18420
PR_O15496	CHEBI_29108
PR_P16885	CHEBI_29108
PR_P53041	CHEBI_18420
PR_P53041	CHEBI_29035
PR_P49593	CHEBI_18420
PR_P49593	CHEBI_29035
PR_Q6PCB5	CHEBI_29033
PR_Q9NRH2	CHEBI_18420
PR_Q9Y5K1	CHEBI_18420
PR_O15270	CHEBI_597326
PR_Q8IUF8	CHEBI_29033
PR_O75845	CHEBI_24875
PR_Q8N6T7	CHEBI_29105
PR_Q9P289	CHEBI_18420
PR_P00439	CHEBI_29033
PR_Q7L0Q8	CHEBI_18420
PR_Q9H777	CHEBI_29105
PR_O00767	CHEBI_29033
PR_Q9NVS9	CHEBI_58210
PR_P42677	CHEBI_29105
PR_Q9NRC8	CHEBI_29105
PR_Q86UX6	CHEBI_18420
PR_Q9UHE8	CHEBI_57692
PR_Q9UHE8	CHEBI_30413
PR_Q13043	CHEBI_18420
PR_P49589	CHEBI_29105
PR_Q17R31	CHEBI_60240
PR_P36639	CHEBI_18420
PR_Q5QJU3	CHEBI_29105
PR_P55789	CHEBI_57692
PR_Q8NER5	CHEBI_18420
PR_Q8NER5	CHEBI_29035
PR_Q7Z6V5	CHEBI_29105
PR_P10398	CHEBI_29105
PR_Q86W34	CHEBI_29105
PR_	CHEBI_29108
PR_	CHEBI_17996
PR_O60909	CHEBI_29035
PR_P54687	CHEBI_597326
PR_Q02928	CHEBI_30413
PR_P17707	CHEBI_15361
PR_P09622	CHEBI_57692
PR_Q9NP87	CHEBI_18420
PR_Q9BZQ6	CHEBI_29108
PR_O75923	CHEBI_29108
PR_Q96G46	CHEBI_58210
PR_O60547	CHEBI_58349
PR_Q8NHS2	CHEBI_597326
PR_P12821	CHEBI_29105
PR_P12821	CHEBI_17996
PR_O43306	CHEBI_18420
PR_O43306	CHEBI_29035
PR_O43570	CHEBI_29105
PR_Q96KP4	CHEBI_29035
PR_Q8IYJ1	CHEBI_29108
PR_P05108	CHEBI_30413
PR_	CHEBI_30413
